game_id,points,building,jovian,power,science,city,event,space,earth,plant,animal,microbe,totalVp,totalPrice,corporation
Game1,100,1,0,0,0,0,0,0,0,0,0,1,0,17,united nations mars initiative
Game2,106,3,0,0,2,1,0,0,0,1,0,0,2,54,credicor
Game3,129,0,0,0,1,0,1,0,1,0,0,0,5,48,saturn systems
Game4,102,0,0,1,1,0,3,3,2,0,0,0,2,101,phobolog
Game5,109,0,1,0,1,0,0,1,0,1,0,0,2,81,phobolog
Game6,100,2,0,0,0,1,0,0,1,1,1,0,0,46,tharsis republic
Game7,121,0,1,0,0,0,0,1,1,1,0,1,2,52,inventrix
Game8,116,0,0,0,1,0,0,0,1,1,0,0,0,33,helion
Game9,100,0,0,0,2,0,2,3,1,0,0,0,4,42,credicor
Game10,100,2,0,0,1,1,0,1,2,0,0,0,1,57,helion
Game11,134,0,0,0,0,0,3,2,2,1,1,0,2,80,teractor
Game12,87,1,1,0,0,0,1,1,0,0,0,0,2,29,helion
Game13,122,2,0,0,1,0,0,1,2,0,0,0,3,49,tharsis republic
Game14,82,0,0,0,1,0,1,1,1,0,1,1,0,50,credicor
Game15,108,0,0,0,0,0,0,0,3,1,2,2,5,54,saturn systems
Game16,86,2,1,1,2,0,2,1,0,0,0,0,2,40,mining guild
Game17,106,3,2,0,0,0,2,2,1,0,0,0,4,85,saturn systems
Game18,105,2,0,1,3,0,1,1,1,1,1,0,7,93,saturn systems
Game19,92,0,1,0,1,0,0,1,0,1,0,0,2,52,tharsis republic
Game20,98,2,0,0,1,1,1,1,1,0,1,0,0,56,mining guild
Game21,112,1,0,0,2,0,3,1,2,0,0,0,1,56,credicor
Game22,87,1,0,0,2,0,1,1,1,2,1,3,6,91,inventrix
Game23,88,2,0,1,1,0,0,1,0,1,1,2,0,54,tharsis republic
Game24,86,1,1,1,1,0,1,1,1,0,0,0,2,26,united nations mars initiative
Game25,104,3,0,0,3,0,1,0,0,0,0,0,7,69,interplanetary cinematics
Game26,141,1,0,0,2,0,1,2,0,0,0,0,0,30,helion
Game27,87,3,0,0,1,0,3,2,1,2,0,1,1,109,credicor
Game28,73,1,0,1,1,0,2,3,1,0,0,0,0,60,helion
Game29,135,1,0,0,1,0,0,0,2,0,0,0,2,60,credicor
Game30,78,1,0,0,0,0,4,4,1,0,0,0,0,105,interplanetary cinematics
Game31,109,1,1,0,1,0,1,2,1,0,0,1,3,60,mining guild
Game32,101,1,1,0,1,0,1,3,2,0,1,0,5,121,phobolog
Game33,85,0,1,0,0,0,1,1,2,1,0,1,1,72,saturn systems
Game34,91,0,1,0,0,0,3,5,3,0,0,0,2,131,helion
Game35,100,1,1,1,2,0,3,3,1,0,0,0,8,123,credicor
Game36,81,0,1,0,1,0,0,2,0,0,0,0,5,79,credicor
Game37,109,0,0,0,2,0,1,2,1,0,0,0,2,59,helion
Game38,87,3,0,1,0,0,1,0,0,0,0,0,0,55,mining guild
Game39,104,3,2,1,1,0,1,3,0,1,0,0,2,111,thorgate
Game40,92,1,1,1,1,0,2,3,1,0,0,1,1,86,helion
Game41,80,1,2,1,0,1,0,3,2,0,0,0,7,105,credicor
Game42,117,2,0,0,2,1,0,0,0,1,0,0,0,51,inventrix
Game43,78,0,2,1,0,1,3,6,1,0,0,0,4,161,teractor
Game44,107,1,0,0,2,0,3,4,3,0,0,1,3,66,phobolog
Game45,104,2,0,0,2,1,2,1,1,0,0,1,0,66,tharsis republic
Game46,117,1,1,0,3,0,3,2,0,0,0,1,2,112,interplanetary cinematics
Game47,80,1,0,0,1,1,1,4,0,1,1,1,4,93,phobolog
Game48,107,2,0,1,2,1,1,1,1,0,0,1,0,83,interplanetary cinematics
Game49,85,0,1,0,1,0,2,1,0,0,0,1,1,49,mining guild
Game50,111,3,1,3,3,0,1,3,0,0,0,0,2,94,saturn systems
Game51,97,1,0,1,1,0,1,1,0,0,0,0,0,45,interplanetary cinematics
Game52,92,0,1,0,2,0,0,1,0,2,0,0,7,76,teractor
Game53,87,1,1,1,3,0,1,2,1,0,0,0,3,57,credicor
Game54,101,2,0,1,2,1,1,0,0,1,1,3,3,62,teractor
Game55,88,3,1,1,2,0,1,2,0,0,0,1,2,59,united nations mars initiative
Game56,98,0,0,0,2,0,1,1,0,0,0,1,0,52,teractor
Game57,109,2,0,0,1,1,1,1,2,2,0,0,1,62,interplanetary cinematics
Game58,94,1,0,1,2,0,1,1,2,0,1,2,1,46,saturn systems
Game59,84,1,1,0,2,0,2,2,2,0,0,1,1,46,united nations mars initiative
Game60,89,1,1,0,1,0,1,2,0,1,0,0,2,72,tharsis republic
Game61,117,1,1,0,2,0,2,1,1,0,0,0,3,36,phobolog
Game62,83,5,0,1,0,2,1,0,1,0,0,0,0,78,credicor
Game63,103,5,0,2,0,1,1,0,0,0,0,0,0,72,teractor
Game64,103,0,1,0,2,0,2,2,0,0,0,0,2,102,phobolog
Game65,73,1,1,1,1,0,2,1,0,1,0,2,3,98,saturn systems
Game66,99,0,2,1,1,1,0,2,1,0,1,0,2,68,saturn systems
Game67,77,3,0,0,1,0,3,2,1,0,0,0,3,111,thorgate
Game68,100,1,0,0,0,0,2,3,0,1,0,0,3,101,phobolog
Game69,86,3,0,0,0,0,1,3,1,0,0,0,5,106,tharsis republic
Game70,85,1,0,1,1,1,1,1,0,0,0,0,0,45,mining guild
Game71,152,2,2,1,1,1,1,3,2,0,0,0,3,109,credicor
Game72,89,0,1,0,1,0,1,1,0,0,0,0,2,35,phobolog
Game73,75,1,1,0,1,1,3,3,1,0,0,0,0,75,tharsis republic
Game74,113,2,0,0,3,0,2,2,3,1,0,0,5,90,teractor
Game75,93,2,0,0,0,0,0,0,1,1,1,1,1,46,saturn systems
Game76,110,1,1,1,0,0,0,1,1,1,0,0,0,80,helion
Game77,80,2,0,2,1,1,0,1,0,0,0,0,1,62,ecoline
Game78,93,4,0,1,2,3,2,0,0,0,0,0,0,58,mining guild
Game79,75,2,0,0,0,0,0,0,0,1,1,0,0,34,credicor
Game80,102,1,0,1,0,0,5,3,2,1,0,0,2,116,teractor
Game81,91,3,0,0,0,1,0,0,0,2,0,0,0,49,tharsis republic
Game82,70,1,0,0,0,0,0,0,1,2,0,2,0,46,inventrix
Game83,85,2,0,0,2,0,1,2,3,0,0,0,3,56,tharsis republic
Game84,74,0,0,0,0,0,2,1,0,0,0,0,0,36,ecoline
Game85,88,1,1,0,0,0,0,1,0,0,0,1,0,53,saturn systems
Game86,89,1,0,0,2,0,0,0,0,0,0,1,0,31,saturn systems
Game87,97,3,0,1,0,0,0,1,1,0,0,1,2,77,tharsis republic
Game88,108,3,0,2,0,0,0,0,0,1,0,1,1,36,credicor
Game89,86,2,0,0,1,1,1,1,0,0,0,0,1,56,ecoline
Game90,92,2,0,0,2,1,0,0,1,0,0,0,0,47,tharsis republic
Game91,111,1,1,1,0,0,1,2,1,0,0,0,2,64,teractor
