game_id,points,building,jovian,power,science,city,event,space,earth,plant,animal,microbe,totalVp,totalPrice
Game1,100,1,0,0,0,0,0,0,1,0,0,1,0,57
Game2,106,3,0,0,2,1,0,0,0,1,0,0,2,111
Game3,129,0,1,0,1,0,1,0,1,0,0,0,5,90
Game4,102,0,0,1,1,0,3,4,2,0,0,0,2,124
Game5,109,0,1,0,1,0,0,2,0,1,0,0,2,104
Game6,100,3,0,0,0,1,0,0,1,1,1,0,0,86
Game7,121,0,1,0,1,0,0,1,1,1,0,1,2,97
Game8,116,0,0,0,1,0,0,1,1,1,0,0,0,75
Game9,100,0,0,0,2,0,2,3,1,0,0,0,4,99
Game10,100,2,0,0,1,1,0,2,2,0,0,0,1,99
Game11,134,0,0,0,0,0,3,2,3,1,1,0,2,140
Game12,87,1,1,0,0,0,1,2,0,0,0,0,2,71
Game13,122,3,0,0,1,0,0,1,2,0,0,0,3,89
Game14,82,0,0,0,1,0,1,1,1,0,1,1,0,107
Game15,108,0,1,0,0,0,0,0,3,1,2,2,5,96
Game16,86,3,1,1,2,0,2,1,0,0,0,0,2,70
Game17,106,3,3,0,0,0,2,2,1,0,0,0,4,127
Game18,105,2,1,1,3,0,1,1,1,1,1,0,7,135
Game19,92,1,1,0,1,0,0,1,0,1,0,0,2,92
Game20,98,3,0,0,1,1,1,1,1,0,1,0,0,86
Game21,112,1,0,0,2,0,3,1,2,0,0,0,1,113
Game22,87,1,0,0,3,0,1,1,1,2,1,3,6,136
Game23,88,3,0,1,1,0,0,1,0,1,1,2,0,94
Game24,86,1,1,1,1,0,1,1,2,0,0,0,2,66
Game25,104,4,0,0,3,0,1,0,0,0,0,0,7,99
Game26,141,1,0,0,2,0,1,3,0,0,0,0,0,72
Game27,87,3,0,0,1,0,3,2,1,2,0,1,1,166
Game28,73,1,0,1,1,0,2,4,1,0,0,0,0,102
Game29,135,1,0,0,1,0,0,0,2,0,0,0,2,117
Game30,78,2,0,0,0,0,4,4,1,0,0,0,0,135
Game31,109,2,1,0,1,0,1,2,1,0,0,1,3,90
Game32,101,1,1,0,1,0,1,4,2,0,1,0,5,144
Game33,85,0,2,0,0,0,1,1,2,1,0,1,1,114
Game34,91,0,1,0,0,0,3,6,3,0,0,0,2,173
Game35,100,1,1,1,2,0,3,3,1,0,0,0,8,180
Game36,81,0,1,0,1,0,0,2,0,0,0,0,5,136
Game37,109,0,0,0,2,0,1,3,1,0,0,0,2,101
Game38,87,4,0,1,0,0,1,0,0,0,0,0,0,85
Game39,104,3,2,2,1,0,1,3,0,1,0,0,2,159
Game40,92,1,1,1,1,0,2,4,1,0,0,1,1,128
Game41,80,1,2,1,0,1,0,3,2,0,0,0,7,162
Game42,117,2,0,0,3,1,0,0,0,1,0,0,0,96
Game43,78,0,2,1,0,1,3,6,2,0,0,0,4,221
Game44,107,1,0,0,2,0,3,5,3,0,0,1,3,89
Game45,104,3,0,0,2,1,2,1,1,0,0,1,0,106
Game46,117,2,1,0,3,0,3,2,0,0,0,1,2,142
Game47,80,1,0,0,1,1,1,5,0,1,1,1,4,116
Game48,107,3,0,1,2,1,1,1,1,0,0,1,0,113
Game49,85,1,1,0,1,0,2,1,0,0,0,1,1,79
Game50,111,3,2,3,3,0,1,3,0,0,0,0,2,136
Game51,97,2,0,1,1,0,1,1,0,0,0,0,0,75
Game52,92,0,1,0,2,0,0,1,1,2,0,0,7,136
Game53,87,1,1,1,3,0,1,2,1,0,0,0,3,114
Game54,101,2,0,1,2,1,1,0,1,1,1,3,3,122
Game55,88,3,1,1,2,0,1,2,1,0,0,1,2,99
Game56,98,0,0,0,2,0,1,1,1,0,0,1,0,112
Game57,109,3,0,0,1,1,1,1,2,2,0,0,1,92
Game58,94,1,1,1,2,0,1,1,2,0,1,2,1,88
Game59,84,1,1,0,2,0,2,2,3,0,0,1,1,86
Game60,89,2,1,0,1,0,1,2,0,1,0,0,2,112
Game61,117,1,1,0,2,0,2,2,1,0,0,0,3,59
Game62,83,5,0,1,0,2,1,0,1,0,0,0,0,135
Game63,103,5,0,2,0,1,1,0,1,0,0,0,0,132
Game64,103,0,1,0,2,0,2,3,0,0,0,0,2,125
Game65,73,1,2,1,1,0,2,1,0,1,0,2,3,140
Game66,99,0,3,1,1,1,0,2,1,0,1,0,2,110
Game67,77,3,0,1,1,0,3,2,1,0,0,0,3,159
Game68,100,1,0,0,0,0,2,4,0,1,0,0,3,124
Game69,86,4,0,0,0,0,1,3,1,0,0,0,5,146
Game70,85,2,0,1,1,1,1,1,0,0,0,0,0,75
Game71,152,2,2,1,1,1,1,3,2,0,0,0,3,166
Game72,89,0,1,0,1,0,1,2,0,0,0,0,2,58
Game73,75,2,1,0,1,1,3,3,1,0,0,0,0,115
Game74,113,2,0,0,3,0,2,2,4,1,0,0,5,150
Game75,93,2,1,0,0,0,0,0,1,1,1,1,1,88
Game76,110,1,1,1,0,0,0,2,1,1,0,0,0,122
Game77,80,2,0,2,1,1,0,1,0,1,0,0,1,98
Game78,93,5,0,1,2,3,2,0,0,0,0,0,0,88
Game79,75,2,0,0,0,0,0,0,0,1,1,0,0,91
Game80,102,1,0,1,0,0,5,3,3,1,0,0,2,176
Game81,91,4,0,0,0,1,0,0,0,2,0,0,0,89
Game82,70,1,0,0,1,0,0,0,1,2,0,2,0,91
Game83,85,3,0,0,2,0,1,2,3,0,0,0,3,96
Game84,74,0,0,0,0,0,2,1,0,1,0,0,0,72
Game85,88,1,2,0,0,0,0,1,0,0,0,1,0,95
Game86,89,1,1,0,2,0,0,0,0,0,0,1,0,73
Game87,97,4,0,1,0,0,0,1,1,0,0,1,2,117
Game88,108,3,0,2,0,0,0,0,0,1,0,1,1,93
Game89,86,2,0,0,1,1,1,1,0,1,0,0,1,92
Game90,92,3,0,0,2,1,0,0,1,0,0,0,0,87
Game91,111,1,1,1,0,0,1,2,2,0,0,0,2,124
Game92,121,2,0,0,0,1,0,0,2,0,0,0,0,62
Game93,87,0,3,1,0,1,0,2,0,0,0,1,1,103
Game94,99,2,0,0,2,1,0,0,0,0,0,0,0,57
Game95,89,1,1,0,1,1,0,2,1,0,0,0,0,111
Game96,100,0,2,1,2,0,0,1,1,0,0,1,1,76
Game97,77,0,0,0,1,0,2,1,2,1,0,2,0,80
Game98,96,2,0,0,2,0,1,3,0,0,0,2,3,100
Game99,77,1,0,0,2,0,1,0,1,1,0,1,1,67
Game100,102,0,3,0,0,0,2,2,0,0,0,0,3,112
Game101,106,0,0,0,0,0,0,0,1,0,0,1,0,68
Game102,107,1,0,0,1,0,1,1,0,0,0,0,0,62
Game103,122,0,2,0,0,0,0,2,2,0,0,0,1,95
Game104,93,5,0,1,0,1,1,1,1,0,0,0,0,108
Game105,99,2,0,0,0,0,0,0,1,0,0,0,2,62
Game106,83,1,0,0,1,0,2,3,1,0,0,0,0,94
Game107,87,1,0,0,0,0,3,0,2,2,0,0,1,99
Game108,107,1,1,0,0,0,1,1,1,0,0,0,0,88
Game109,96,3,0,1,1,0,1,1,3,1,0,0,3,129
Game110,80,3,0,1,2,0,2,0,1,0,0,1,1,83
Game111,86,2,0,0,1,0,2,2,1,0,0,0,0,110
Game112,90,5,0,2,1,0,0,0,0,1,0,0,1,84
Game113,82,2,0,2,0,0,2,2,0,0,0,0,0,131
Game114,86,0,0,0,0,0,2,1,0,1,1,0,0,70
Game115,104,1,2,0,0,0,0,2,1,0,0,0,2,140
Game116,94,3,0,0,1,0,0,1,0,0,0,0,3,76
Game117,93,3,0,0,0,0,0,0,1,0,0,0,0,60
Game118,77,4,0,1,0,1,2,1,0,0,0,0,1,95
Game119,105,2,1,1,0,0,0,0,1,1,0,0,1,88
Game120,85,2,0,1,1,1,0,0,1,1,0,1,0,94
Game121,77,2,0,0,1,0,1,0,3,1,0,0,1,120
Game122,77,2,2,0,0,0,1,4,0,1,0,0,4,118
Game123,88,1,0,0,0,0,1,2,1,1,0,0,0,144
Game124,80,4,1,0,2,1,1,1,0,1,0,0,1,121
Game125,119,0,0,1,2,0,2,3,0,0,0,1,2,139
Game126,123,2,0,0,0,0,0,0,1,0,0,1,0,55
Game127,95,2,0,0,2,0,1,0,1,1,0,1,3,96
Game128,81,2,0,1,0,0,0,0,0,0,0,0,0,53
Game129,94,3,0,0,0,1,3,0,1,0,0,0,0,93
Game130,115,2,0,0,0,0,0,0,0,1,2,1,3,70
Game131,65,3,0,2,0,0,0,0,2,0,0,0,0,74
Game132,95,2,2,1,1,1,1,3,0,0,0,0,3,133
Game133,98,0,0,1,2,0,2,2,1,0,0,1,1,97
Game134,93,1,0,0,0,0,1,1,2,0,0,1,0,84
Game135,98,3,0,0,3,0,0,1,0,1,0,1,2,110
Game136,80,1,0,1,1,0,2,2,0,1,0,0,0,98
Game137,80,3,0,0,1,1,2,1,0,0,0,1,0,102
Game138,93,0,0,0,2,0,0,0,1,0,0,3,0,87
Game139,93,0,2,0,0,0,1,2,1,1,0,0,3,159
Game140,126,1,1,0,2,0,1,0,0,0,0,0,2,75
Game141,130,2,0,0,2,0,0,2,1,0,0,0,4,93
Game142,97,3,0,2,1,0,2,1,1,0,0,0,1,102
Game143,97,4,0,1,0,1,0,0,1,1,0,0,1,109
